"NUTS0","NUTS1","NUTS2","NUTS3","LAU1","LAU2","Year","Month","Day","numberPositive","numberObservations","isPositive","percentagePositive","LAU1Name","LAU2Name","variable1","variable2"
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2015,12,31,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.183643324222082,19.4668484325195
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,1,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.626453810742332,16.0679116765927
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,2,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.59528080213779,19.3639622925509
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,3,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.329507771815361,23.1367007838769
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,4,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.835628612410047,21.0834183988303
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,5,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.820468384118015,18.0682923154702
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,6,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.487429052428485,12.8660008154244
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,7,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.738324705129217,21.1322685821166
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,8,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.575781351653492,15.9070287930408
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,9,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.305388387156356,15.764236944887
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,10,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.51178116845085,10.0783372478394
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,11,0,12,0,0,"Harju maakond","Aegviidu vald",0.389843236411431,15.9361061421447
